0.03 110 5.8714 2528.158 2704.3 7.9877
0.03 115 5.9495 2535.515 2714 8.0128
0.03 120 6.0274 2542.878 2723.7 8.0375
0.03 125 6.1053 2550.141 2733.3 8.062
0.03 130 6.183 2557.51 2743 8.0861
0.03 135 6.2608 2564.776 2752.6 8.1099
0.03 140 6.3385 2572.145 2762.3 8.1334
0.03 145 6.4161 2579.517 2772 8.1566
0.03 150 6.4937 2586.789 2781.6 8.1796
0.03 155 6.5712 2594.164 2791.3 8.2023
0.03 160 6.6487 2601.539 2801 8.2248
0.03 165 6.7262 2608.914 2810.7 8.247
0.03 170 6.8036 2616.292 2820.4 8.269
0.03 175 6.8811 2623.667 2830.1 8.2908
0.03 180 6.9584 2631.048 2839.8 8.3123
0.03 185 7.0358 2638.426 2849.5 8.3337
0.03 190 7.1131 2645.807 2859.2 8.3548
0.03 195 7.1905 2653.185 2868.9 8.3757
0.03 200 7.2677 2660.669 2878.7 8.3964
0.03 210 7.4223 2675.531 2898.2 8.4372
0.03 220 7.5768 2690.496 2917.8 8.4773
0.03 230 7.7312 2705.464 2937.4 8.5167
0.03 240 7.8855 2720.535 2957.1 8.5554
0.03 250 8.0399 2735.603 2976.8 8.5935
0.03 260 8.1941 2750.777 2996.6 8.6309
0.03 270 8.3484 2765.948 3016.4 8.6678
0.03 280 8.5026 2781.222 3036.3 8.7041
0.03 290 8.6568 2796.496 3056.2 8.7398
0.03 300 8.811 2811.87 3076.2 8.775
0.03 310 8.9651 2827.347 3096.3 8.8097
0.03 320 9.1192 2842.824 3116.4 8.8439
0.03 330 9.2733 2858.401 3136.6 8.8777
0.03 340 9.4274 2874.078 3156.9 8.911
0.03 350 9.5815 2889.755 3177.2 8.9438
0.03 360 9.7356 2905.432 3197.5 8.9763
0.03 370 9.8896 2921.312 3218 9.0083
0.03 380 10.044 2937.18 3238.5 9.0399
0.03 390 10.198 2953.06 3259 9.0711
0.03 400 10.352 2969.04 3279.6 9.102
0.03 410 10.506 2985.12 3300.3 9.1325
0.03 420 10.66 3001.3 3321.1 9.1627
0.03 430 10.814 3017.48 3341.9 9.1925
0.03 440 10.968 3033.76 3362.8 9.222
0.03 450 11.122 3050.04 3383.7 9.2511
0.03 460 11.276 3066.42 3404.7 9.28
0.03 470 11.43 3082.9 3425.8 9.3086
0.03 480 11.584 3099.48 3447 9.3368
0.03 490 11.737 3116.09 3468.2 9.3648
0.03 500 11.891 3132.77 3489.5 9.3925
0.03 520 12.199 3166.33 3532.3 9.4471
0.03 540 12.507 3200.09 3575.3 9.5007
0.03 560 12.815 3234.15 3618.6 9.5534
0.03 580 13.123 3268.51 3662.2 9.6051
0.03 600 13.431 3303.17 3706.1 9.6559
0.03 620 13.738 3338.16 3750.3 9.706
0.03 640 14.046 3373.32 3794.7 9.7552
0.03 660 14.354 3408.88 3839.5 9.8036
0.03 680 14.662 3444.64 3884.5 9.8514
0.03 700 14.97 3480.7 3929.8 9.8984
0.03 720 15.277 3517.09 3975.4 9.9448
0.03 740 15.585 3553.65 4021.2 9.9905
0.03 760 15.893 3590.61 4067.4 10.036
0.03 780 16.201 3627.77 4113.8 10.08
0.03 800 16.508 3665.26 4160.5 10.124
0.03 820 16.816 3703.02 4207.5 10.167
0.03 840 17.124 3741.08 4254.8 10.21
0.03 860 17.432 3779.34 4302.3 10.253
0.03 880 17.739 3818.03 4350.2 10.294
0.03 900 18.047 3856.89 4398.3 10.336
0.03 920 18.355 3895.95 4446.6 10.377
0.03 940 18.663 3935.41 4495.3 10.417
0.03 960 18.97 3975.1 4544.2 10.457
0.03 980 19.278 4014.96 4593.3 10.497
0.03 1000 19.586 4055.22 4642.8 10.536
0.03 1100 21.124 4259.98 4893.7 10.725
0.03 1200 22.663 4470.81 5150.7 10.906
0.03 1300 24.201 4687.37 5413.4 11.079
0.03 1400 25.74 4909 5681.2 11.244
0.03 1500 27.278 5135.56 5953.9 11.402
0.03 1600 28.817 5366.59 6231.1 11.554
0.03 1800 31.894 5840.38 6797.2 11.841
0.03 2000 34.97 6327.9 7377 12.108
0.04 0 0.00100019 -0.0400076 0 -0.00015
0.04 5 0.00100006 21.0199976 21.06 0.07625
0.04 10 0.00100033 42.0199868 42.06 0.15108
0.04 15 0.00100093 62.9799628 63.02 0.22446
0.04 20 0.00100182 83.9099272 83.95 0.29648
0.04 25 0.00100299 104.8198804 104.86 0.36722
0.04 30 0.0010044 125.729824 125.77 0.43674
0.04 35 0.00100603 146.6197588 146.66 0.50512
0.04 40 0.00100787 167.5196852 167.56 0.57239
0.04 45 0.00100991 188.4196036 188.46 0.6386
0.04 50 0.00101214 209.3295144 209.37 0.7038
0.04 55 0.00101454 230.2394184 230.28 0.76801
0.04 60 0.00101712 251.1593152 251.2 0.83128
0.04 65 0.00101986 272.0892056 272.13 0.89364
0.04 70 0.00102277 293.0290892 293.07 0.95513
0.04 75 0.00102584 313.9889664 314.03 1.0158
0.04 75.857 0.00102638 317.5789448 317.62 1.0261
0.04 75.857 3.993 2476.38 2636.1 7.669
0.04 80 4.0425 2482.6 2644.3 7.6925
0.04 85 4.1021 2490.116 2654.2 7.7204
0.04 90 4.1615 2497.64 2664.1 7.7477
0.04 95 4.2208 2505.068 2673.9 7.7746
0.04 100 4.2799 2512.504 2683.7 7.801
0.04 105 4.3389 2519.944 2693.5 7.827
0.04 110 4.3978 2527.288 2703.2 7.8527
0.04 115 4.4566 2534.736 2713 7.8779
0.04 120 4.5153 2542.088 2722.7 7.9028
0.04 125 4.5739 2549.444 2732.4 7.9274
0.04 130 4.6325 2556.8 2742.1 7.9516
0.04 135 4.691 2564.16 2751.8 7.9755
0.04 140 4.7495 2571.52 2761.5 7.9992
0.04 145 4.8079 2578.884 2771.2 8.0225
0.04 150 4.8662 2586.252 2780.9 8.0456
0.04 155 4.9245 2593.62 2790.6 8.0684
